market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source
ChiNext,0.80000000000000004,80%,LambdaMART,102,-0.44143330610852805,,
ChiNext,0.80000000000000004,80%,LambdaMART,103,0.11428798701788301,,
ChiNext,0.80000000000000004,80%,LambdaRank,3,-0.38481325342924977,,
ChiNext,0.80000000000000004,80%,LambdaRank,15,-0.42609423106212085,,
ChiNext,0.80000000000000004,80%,LambdaRank,20,0.4823113947746962,,
ChiNext,0.80000000000000004,80%,LambdaRank,22,-0.11536163488993867,,
ChiNext,0.80000000000000004,80%,LambdaRank,23,0.56132528024382711,,
ChiNext,0.80000000000000004,80%,LambdaRank,29,-0.033444332689114842,,
ChiNext,0.80000000000000004,80%,LambdaRank,30,1.2533140348504204,,
ChiNext,0.80000000000000004,80%,LambdaRank,33,0.064603924398534129,,
ChiNext,0.80000000000000004,80%,LambdaRank,39,0.51207884527132808,,
ChiNext,0.80000000000000004,80%,LambdaRank,45,-0.22273876855952024,,
ChiNext,0.80000000000000004,80%,LambdaRank,65,0.18987994294376365,,
ChiNext,0.80000000000000004,80%,LambdaRank,71,1.5234182568100891,,
ChiNext,0.80000000000000004,80%,LambdaRank,75,-0.49363134984603996,,
ChiNext,0.80000000000000004,80%,LambdaRank,77,0.51322360681579915,,
ChiNext,0.80000000000000004,80%,LambdaRank,81,-0.20843441084576553,,
ChiNext,0.80000000000000004,80%,LambdaRank,85,-0.39048332708269007,,
ChiNext,0.80000000000000004,80%,LambdaRank,95,0.28461200865167791,,
ChiNext,0.80000000000000004,80%,LambdaRank,101,0.44315052524619225,,
ChiNext,0.80000000000000004,80%,LambdaRank,105,-0.54037614276127077,,
ChiNext,0.80000000000000004,80%,LambdaRank,109,0.46711744825527401,,
ChiNext,0.90000000000000002,90%,LTR-DQN,8,-0.2316220177334134,2050595345,
ChiNext,0.90000000000000002,90%,LTR-DQN,19,-0.013071215677641579,969234552,
ChiNext,0.90000000000000002,90%,LTR-DQN,21,-0.19289084883256247,649861206,
ChiNext,0.90000000000000002,90%,LTR-DQN,32,0.59399373925977583,1817289368,
ChiNext,0.90000000000000002,90%,LTR-DQN,33,-0.13842364524832063,1856360926,
ChiNext,0.90000000000000002,90%,LTR-DQN,34,0.99333109859073354,1119199883,
ChiNext,0.90000000000000002,90%,LTR-DQN,36,-0.80155324174077403,839386805,
ChiNext,0.90000000000000002,90%,LTR-DQN,37,2.6895698249949302,1634312020,
ChiNext,0.90000000000000002,90%,LTR-DQN,51,0.58114431698879021,630576426,
ChiNext,0.90000000000000002,90%,LTR-DQN,60,-0.044155756715129058,966090901,
ChiNext,0.90000000000000002,90%,LTR-DQN,64,0.071783990502921613,372144024,
ChiNext,0.90000000000000002,90%,LTR-DQN,67,-0.0054026018229453854,1589265830,
ChiNext,0.90000000000000002,90%,LTR-DQN,69,-0.021696352168885324,1225031073,
ChiNext,0.90000000000000002,90%,LTR-DQN,72,0.93889894828273524,413671463,
ChiNext,0.90000000000000002,90%,LTR-DQN,77,0.2478815987473264,87832608,
ChiNext,0.90000000000000002,90%,LTR-DQN,79,1.2043764486168249,1271333263,
ChiNext,0.90000000000000002,90%,LTR-DQN,80,1.8719918721163324,1718781317,
ChiNext,0.90000000000000002,90%,LTR-DQN,96,3.7422568445463638,958132131,
ChiNext,0.90000000000000002,90%,LTR-DQN,101,-0.1226704095523089,86744630,
ChiNext,0.90000000000000002,90%,LTR-DQN,104,-0.66182761127602441,303402147,
ChiNext,0.90000000000000002,90%,LambdaMART,8,-0.41690273506049125,,
ChiNext,0.90000000000000002,90%,LambdaMART,19,-0.15359560257121319,,
ChiNext,0.90000000000000002,90%,LambdaMART,21,-0.41267533793690814,,
ChiNext,0.90000000000000002,90%,LambdaMART,32,-0.20223154800932808,,
ChiNext,0.90000000000000002,90%,LambdaMART,33,-0.52422439194026582,,
ChiNext,0.90000000000000002,90%,LambdaMART,34,-0.32771855923831172,,
ChiNext,0.90000000000000002,90%,LambdaMART,36,-0.84214653811678908,,
ChiNext,0.90000000000000002,90%,LambdaMART,37,5.160278165516778,,
ChiNext,0.90000000000000002,90%,LambdaMART,51,-0.1231290939562919,,
ChiNext,0.90000000000000002,90%,LambdaMART,60,-0.49596834484178898,,
ChiNext,0.90000000000000002,90%,LambdaMART,64,-0.0113419507772341,,
ChiNext,0.90000000000000002,90%,LambdaMART,67,-0.2485614326464014,,
ChiNext,0.90000000000000002,90%,LambdaMART,69,-0.26225751290115007,,
ChiNext,0.90000000000000002,90%,LambdaMART,72,0.58734674023190903,,
ChiNext,0.90000000000000002,90%,LambdaMART,77,0.2524619578055769,,
ChiNext,0.90000000000000002,90%,LambdaMART,79,0.73799932352725639,,
ChiNext,0.90000000000000002,90%,LambdaMART,80,0.93285143070706367,,
ChiNext,0.90000000000000002,90%,LambdaMART,96,4.2528424326919154,,
ChiNext,0.90000000000000002,90%,LambdaMART,101,-0.3163688147803505,,
ChiNext,0.90000000000000002,90%,LambdaMART,104,-0.81121399825333707,,
ChiNext,0.90000000000000002,90%,LambdaRank,5,-0.12032649468055412,,
ChiNext,0.90000000000000002,90%,LambdaRank,10,-0.10834775393915119,,
ChiNext,0.90000000000000002,90%,LambdaRank,18,-0.018650015503074768,,
ChiNext,0.90000000000000002,90%,LambdaRank,24,-0.43124956570633677,,
ChiNext,0.90000000000000002,90%,LambdaRank,25,0.50946208748139821,,
ChiNext,0.90000000000000002,90%,LambdaRank,38,-0.4017499135750856,,
ChiNext,0.90000000000000002,90%,LambdaRank,40,0.19431697192633868,,
ChiNext,0.90000000000000002,90%,LambdaRank,49,0.080465474382455326,,
ChiNext,0.90000000000000002,90%,LambdaRank,50,-0.44147068835465031,,
ChiNext,0.90000000000000002,90%,LambdaRank,51,-0.023870283482582022,,
ChiNext,0.90000000000000002,90%,LambdaRank,53,0.40157762781136475,,
ChiNext,0.90000000000000002,90%,LambdaRank,62,-0.013980998366675768,,
ChiNext,0.90000000000000002,90%,LambdaRank,70,0.20285334644566722,,
ChiNext,0.90000000000000002,90%,LambdaRank,74,0.97806636392201063,,
ChiNext,0.90000000000000002,90%,LambdaRank,93,-0.068170372914379551,,
ChiNext,0.90000000000000002,90%,LambdaRank,106,0.6134924265826065,,
ChiNext,0.90000000000000002,90%,LambdaRank,117,0.10066677176860761,,
ChiNext,0.90000000000000002,90%,LambdaRank,119,-0.00078896591706967278,,
ChiNext,0.90000000000000002,90%,LambdaRank,127,0.17964558836791422,,
ChiNext,0.90000000000000002,90%,LambdaRank,145,0.34800499043012123,,
Main,0.5,50%,LTR-DQN,5,1.0278191856255048,206232353,
Main,0.5,50%,LTR-DQN,11,0.10492258535292986,199038225,
Main,0.5,50%,LTR-DQN,12,2.0619930023551905,266626707,
Main,0.5,50%,LTR-DQN,29,-0.30107743224793282,293927269,
Main,0.5,50%,LTR-DQN,41,-0.21894517496495725,373897776,
Main,0.5,50%,LTR-DQN,42,1.3009680638515793,1475701306,
Main,0.5,50%,LTR-DQN,44,1.4039176935364748,1441215557,
Main,0.5,50%,LTR-DQN,45,0.013659603199817516,57154534,
Main,0.5,50%,LTR-DQN,47,2.0059125202947592,1382236470,
Main,0.5,50%,LTR-DQN,50,-0.31511637669433823,405520300,
Main,0.5,50%,LTR-DQN,55,2.7323637248077279,1154720961,
Main,0.5,50%,LTR-DQN,56,0.72479759291258805,1624073271,
Main,0.5,50%,LTR-DQN,61,1.974288984905892,1613278763,
Main,0.5,50%,LTR-DQN,62,0.55423705096793419,29446143,
