market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source,source_signature
Main,0.7,70%,LambdaRank,28,-0.43536796298821656,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,37,3.0584739954321982,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,38,0.4425096719230306,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,39,0.25227244620736733,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,41,-0.3890094096499219,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,44,2.0510055449181652,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,45,0.14729695941307686,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,47,3.248346187716219,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,49,2.716824130549107,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,59,0.3508953124254848,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,69,2.9026919218725205,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,79,0.9700164778141642,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,81,1.8881310413603125,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,85,0.6181046258000706,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,88,-0.019838323655616774,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,5,0.5774251811589,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,5,0.7095705334509252,1522229069.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,9,0.6158675558147824,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,9,1.1150805875728413,1789115312.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,13,1.2128660191067544,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,13,2.153213763113185,2031404069.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,19,1.1562211323944434,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,19,1.3058025776987394,1509349384.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
